pclass,sex,age,sibsp,fare,cabin,embarked,survived,Cluster
1,1,38.0,1.0,71.2833,C85,1,1,2
1,1,35.0,1.0,53.1,C123,0,1,2
1,0,54.0,0.0,51.8625,E46,0,0,1
3,1,4.0,1.0,16.7,G6,0,1,0
1,1,58.0,0.0,26.55,C103,0,1,1
2,0,34.0,0.0,13.0,D56,0,1,0
1,0,28.0,0.0,35.5,A6,0,1,1
1,0,19.0,3.0,263.0,C23 C25 C27,0,0,2
1,1,30.0,1.0,146.5208,B78,1,1,2
1,1,49.0,1.0,76.7292,D33,1,1,2
1,0,65.0,0.0,61.9792,B30,1,0,1
1,0,30.0,0.0,35.5,C52,0,1,1
1,0,45.0,1.0,83.475,C83,0,0,1
2,1,29.0,0.0,10.5,F33,0,1,0
3,0,25.0,0.0,7.65,F G73,0,0,0
1,1,23.0,3.0,263.0,C23 C25 C27,0,1,2
1,0,46.0,1.0,61.175,E31,0,0,1
1,0,71.0,0.0,34.6542,A5,1,0,1
1,0,23.0,0.0,63.3583,D10 D12,1,1,1
1,0,21.0,0.0,77.2875,D26,0,0,1
1,0,47.0,0.0,52.0,C110,0,0,1
1,0,24.0,0.0,247.5208,B58 B60,1,0,2
2,1,32.5,0.0,13.0,E101,0,1,0
1,0,54.0,0.0,77.2875,D26,0,0,1
3,1,30.0,1.0,22.3583,F E69,1,1,0
1,1,19.0,0.0,26.2833,D47,0,1,2
1,0,37.0,1.0,53.1,C123,0,0,1
1,0,24.0,0.0,79.2,B86,1,0,1
2,0,36.5,0.0,26.0,F2,0,0,0
1,1,22.0,1.0,66.6,C2,0,1,2
1,1,30.0,0.0,55.0,E33,0,1,2
1,0,61.0,0.0,33.5,B19,0,0,1
1,0,56.0,0.0,30.6958,A7,1,0,1
1,1,50.0,0.0,28.7125,C49,1,0,2
2,0,1.0,2.0,39.0,F4,0,1,0
1,0,30.0,0.0,50.0,A32,0,0,1
2,0,3.0,1.0,26.0,F2,0,1,0
1,1,44.0,0.0,27.7208,B4,1,1,2
1,1,58.0,0.0,146.5208,B80,1,1,2
3,1,2.0,0.0,10.4625,G6,0,0,0
1,0,40.0,0.0,31.0,A31,1,1,1
1,1,31.0,1.0,113.275,D36,1,1,2
1,1,32.0,0.0,76.2917,D15,1,1,2
1,0,38.0,1.0,90.0,C93,0,1,1
1,1,35.0,1.0,83.475,C83,0,1,2
1,0,44.0,2.0,90.0,C78,2,0,2
1,0,37.0,1.0,52.5542,D35,0,1,1
3,1,29.0,1.0,10.4625,G6,0,0,0
1,0,62.0,0.0,26.55,C87,0,0,1
1,1,30.0,0.0,86.5,B77,0,1,2
1,0,52.0,1.0,79.65,E67,0,0,1
1,0,40.0,0.0,0.0,B94,0,0,1
1,1,58.0,0.0,153.4625,C125,0,1,2
1,1,35.0,0.0,135.6333,C99,0,1,2
1,0,37.0,0.0,29.7,C118,1,0,1
1,1,63.0,1.0,77.9583,D7,0,1,2
1,0,30.0,0.0,26.0,A19,0,0,1
1,1,19.0,1.0,91.0792,B49,1,1,2
2,0,36.0,0.0,12.875,D,1,0,0
1,1,2.0,1.0,151.55,C22 C26,0,0,2
1,0,30.0,0.0,30.5,C106,0,1,1
1,1,50.0,0.0,247.5208,B58 B60,1,1,2
2,1,30.0,0.0,12.35,E101,2,1,0
1,0,0.92,1.0,151.55,C22 C26,0,1,2
1,1,17.0,1.0,108.9,C65,1,1,2
1,1,30.0,0.0,56.9292,E36,1,1,2
1,1,24.0,0.0,83.1583,C54,1,1,2
1,1,18.0,2.0,262.375,B57 B59 B63 B66,1,1,2
1,1,31.0,0.0,164.8667,C7,0,1,2
1,1,40.0,1.0,134.5,E34,1,1,2
1,1,36.0,0.0,135.6333,C32,1,1,2
2,1,36.0,0.0,13.0,D,0,1,0
1,1,16.0,0.0,57.9792,B18,1,1,2
1,0,45.5,0.0,28.5,C124,0,0,1
1,0,38.0,0.0,153.4625,C91,0,0,1
1,0,29.0,1.0,66.6,C2,0,0,1
1,1,41.0,0.0,134.5,E40,1,1,2
1,0,45.0,0.0,35.5,T,0,0,1
